workerid,OS,screenH,screenW,Browser
0,"""Mac""",900,1440,"""Chrome"""
1,"""Windows""",768,1366,"""Chrome"""
2,"""Windows""",864,1536,"""Chrome"""
3,"""Windows""",900,1440,"""Chrome"""
4,"""Windows""",864,1536,"""Chrome"""
5,"""Windows""",1080,1920,"""Chrome"""
6,"""Windows""",720,1280,"""Chrome"""
7,"""Windows""",1080,1920,"""Chrome"""
8,"""Windows""",1024,1280,"""Chrome"""
9,"""Windows""",1440,2560,"""Firefox"""
10,"""Windows""",768,1366,"""Chrome"""
11,"""Windows""",768,1366,"""Chrome"""
12,"""Windows""",1080,1920,"""Chrome"""
13,"""Windows""",720,1280,"""Chrome"""
14,"""Windows""",768,1366,"""Chrome"""
15,"""Windows""",1080,1920,"""Chrome"""
16,"""Windows""",720,1280,"""Chrome"""
17,"""Windows""",768,1366,"""Chrome"""
18,"""Mac""",1620,2880,"""Chrome"""
19,"""Windows""",615,1093,"""Chrome"""
