workerid,other_languages,language,problems,comments,asses,fairprice
0,"""""","""English""","""none""","""""","""Yes""","""2.00"""
1,"""""","""english""","""no""","""No idea what the grey cross was about.  Probably missed a couple.""","""Yes""","""$1"""
2,"""""","""English""","""No""","""""","""Yes""","""1.00"""
3,"""""","""English""","""The scrolling was wonky, but it was fine""","""""","""Yes""","""1.20"""
4,"""None""","""English""","""No""","""""","""Yes""","""1.00"""
5,"""NA""","""English""","""no""","""""","""Yes""","""yes"""
6,"""""","""english""","""no""","""""","""Yes""","""1.50"""
7,"""spanish""","""english""","""no""","""thank you""","""Yes""","""a little low payed"""
8,"""none""","""english""","""none""","""""","""Yes""","""1.50"""
9,"""NA""","""English""","""No""","""Thank you""","""Yes""","""Yes"""
10,"""None""","""English""","""None""","""""","""Yes""","""1.50"""
11,"""none""","""english""","""none""","""""","""Yes""","""1.00"""
12,"""""","""English""","""no""","""It was cool because it was colorful and wasn&quotechart just a bunch of words laying flat on the page.""","""Yes""","""1.50 ( ten cents a minute )"""
13,"""n/a""","""eng""","""no""","""fine""","""Yes""","""1.50"""
14,"""""","""English""","""""","""""","""Yes""","""1.50"""
15,"""None""","""Englosh""","""No""","""""","""Yes""","""1.00"""
16,"""spanish""","""english""","""none""","""none""","""Yes""","""no"""
17,"""""","""English""","""""","""""","""No""","""1.00"""
18,"""none""","""English""","""none""","""""","""Yes""","""1.00"""
19,"""None""","""English""","""No""","""Fun survey""","""Yes""","""1.00"""
