date,workerid,amount
Mon May 14 09:33:49 PDT 2018,A3774HPOUKYTX7,1.0
Mon May 14 09:35:58 PDT 2018,A3IP6UCY1JIIHV,1.0
Mon May 14 09:36:35 PDT 2018,A3NPIXGXNFDZY1,1.0
Mon May 14 09:36:44 PDT 2018,A1PXXMC3GQT2II,1.0
Mon May 14 09:37:46 PDT 2018,A3L60SOWLYEDN2,1.0
Mon May 14 09:38:27 PDT 2018,A2BF3A9KYSEFPO,1.0
Mon May 14 09:39:53 PDT 2018,A3JP7DIFRS0ZBY,1.0
Mon May 14 09:40:08 PDT 2018,A2LCOTUKCDULAA,1.0
Mon May 14 09:41:15 PDT 2018,A3PUU1XU4C1A3V,1.0
Mon May 14 09:41:19 PDT 2018,A1NGABF082HR2P,1.0
Mon May 14 09:41:45 PDT 2018,A150GMV1YQWWB3,1.0
Mon May 14 09:42:46 PDT 2018,A3A8P4UR9A0DWQ,1.0
Mon May 14 09:42:55 PDT 2018,A375OH1S7FO7L8,1.0
Mon May 14 09:44:49 PDT 2018,A1GKD3NG1NNHRP,1.0
Mon May 14 09:49:05 PDT 2018,A3CXK1KSRGU27V,1.0
Mon May 14 09:49:45 PDT 2018,A1F1OZ54G177D8,1.0
Mon May 14 09:53:13 PDT 2018,A10HOQZSWUIYHC,1.0
Mon May 14 10:06:47 PDT 2018,A3JLE2LJ5I17E2,1.0
Mon May 14 10:08:59 PDT 2018,AA8MK8AWWWL62,1.0
Mon May 14 10:20:01 PDT 2018,A3VTOW7WLPTBRR,1.0
,total paid to workers:,=SUM(c2:c21)
,40% paid to Amazon:,=.4*c22
,total:,=SUM(c22:c23
