date,workerid,amount
Mon May 14 09:34:12 PDT 2018,A2C84POENS2UNY,1.0
Mon May 14 09:34:54 PDT 2018,A0017268R9SKD8U2Y3F,1.0
Mon May 14 09:36:40 PDT 2018,ATF7HBD1TFI2U,1.0
Mon May 14 09:37:10 PDT 2018,A38VMTKS30TQZB,1.0
Mon May 14 09:37:26 PDT 2018,A3HHWIXEB86LL3,1.0
Mon May 14 09:37:39 PDT 2018,A89R5XGMHOTJE,1.0
Mon May 14 09:37:52 PDT 2018,AJG4Y1OT9N50T,1.0
Mon May 14 09:38:02 PDT 2018,AFN5VMMGYPF1I,1.0
Mon May 14 09:38:13 PDT 2018,A15LHHN76OW2UM,1.0
Mon May 14 09:39:19 PDT 2018,A308FEI88TJ8WV,1.0
Mon May 14 09:42:11 PDT 2018,ASI2B6A3Y556Z,1.0
Mon May 14 09:43:17 PDT 2018,A7KLTVEIASF4J,1.0
Mon May 14 09:45:11 PDT 2018,AAHZCL4LIPCBQ,1.0
Mon May 14 09:45:31 PDT 2018,A3L0DCUXI7X3A9,1.0
Mon May 14 09:47:44 PDT 2018,A2SUSP7BO7ZCPM,1.0
Mon May 14 09:48:25 PDT 2018,A2RBF3IIJP15IH,1.0
Mon May 14 09:51:49 PDT 2018,A29I0O9V6N1CY,1.0
Mon May 14 09:54:52 PDT 2018,A21W6704ES6YYZ,1.0
Mon May 14 10:00:57 PDT 2018,A2E3TO92MCQ9XU,1.0
Mon May 14 10:32:43 PDT 2018,A2OO4PG3LBLP5I,1.0
,total paid to workers:,=SUM(c2:c21)
,40% paid to Amazon:,=.4*c22
,total:,=SUM(c22:c23
